Account Type,Account Number,Transaction Date,Cheque Number,Description 1,Description 2,CAD$,USD$
Chequing,10001-1000001,1/1/2026,,RENT PAYMENT,PRAIRIE VIEW APARTMENTS,-1950.00,
Chequing,10001-1000001,1/2/2026,,MONTHLY FEE,,-5.00,
Chequing,10001-1000001,1/2/2026,,MULTIPRODUCT REBATE,,5.00,
Chequing,10001-1000001,1/4/2026,,INSURANCE,PRAIRIE SHIELD INS,-138.42,
Chequing,10001-1000001,1/8/2026,,MISC PAYMENT,FIBRELINE INTERNET,-82.35,
Chequing,10001-1000001,1/12/2026,,MISC PAYMENT,MOBILE NORTH,-64.18,
Chequing,10001-1000001,1/15/2026,,PAYROLL DEPOSIT,NORTHSTAR ANALYTICS,3125.40,
Chequing,10001-1000001,1/16/2026,,Transfer,WWW TRANSFER - 1960,-650.00,
Chequing,10001-1000001,1/30/2026,,PAYROLL DEPOSIT,NORTHSTAR ANALYTICS,3125.40,
Chequing,10001-1000001,2/1/2026,,RENT PAYMENT,PRAIRIE VIEW APARTMENTS,-1950.00,
Chequing,10001-1000001,2/2/2026,,MONTHLY FEE,,-5.00,
Chequing,10001-1000001,2/2/2026,,MULTIPRODUCT REBATE,,5.00,
Chequing,10001-1000001,2/4/2026,,INSURANCE,PRAIRIE SHIELD INS,-138.42,
Chequing,10001-1000001,2/6/2026,,SCHEDULED PAYMENT,VISA PAYMENT,-599.37,
Chequing,10001-1000001,2/8/2026,,MISC PAYMENT,FIBRELINE INTERNET,-82.35,
Chequing,10001-1000001,2/12/2026,,MISC PAYMENT,MOBILE NORTH,-64.18,
Chequing,10001-1000001,2/15/2026,,PAYROLL DEPOSIT,NORTHSTAR ANALYTICS,3125.40,
Chequing,10001-1000001,2/16/2026,,Transfer,WWW TRANSFER - 3722,-650.00,
Chequing,10001-1000001,2/27/2026,,PAYROLL DEPOSIT,NORTHSTAR ANALYTICS,3125.40,
Chequing,10001-1000001,3/1/2026,,RENT PAYMENT,PRAIRIE VIEW APARTMENTS,-1950.00,
Chequing,10001-1000001,3/2/2026,,MONTHLY FEE,,-5.00,
Chequing,10001-1000001,3/2/2026,,MULTIPRODUCT REBATE,,5.00,
Chequing,10001-1000001,3/4/2026,,INSURANCE,PRAIRIE SHIELD INS,-138.42,
Chequing,10001-1000001,3/6/2026,,SCHEDULED PAYMENT,VISA PAYMENT,-593.51,
Chequing,10001-1000001,3/8/2026,,MISC PAYMENT,FIBRELINE INTERNET,-82.35,
Chequing,10001-1000001,3/12/2026,,MISC PAYMENT,MOBILE NORTH,-64.18,
Chequing,10001-1000001,3/15/2026,,PAYROLL DEPOSIT,NORTHSTAR ANALYTICS,3125.40,
Chequing,10001-1000001,3/16/2026,,Transfer,WWW TRANSFER - 9517,-650.00,
Chequing,10001-1000001,3/31/2026,,PAYROLL DEPOSIT,NORTHSTAR ANALYTICS,3125.40,
Chequing,10001-1000001,4/1/2026,,RENT PAYMENT,PRAIRIE VIEW APARTMENTS,-1950.00,
Chequing,10001-1000001,4/2/2026,,MONTHLY FEE,,-5.00,
Chequing,10001-1000001,4/2/2026,,MULTIPRODUCT REBATE,,5.00,
Chequing,10001-1000001,4/4/2026,,INSURANCE,PRAIRIE SHIELD INS,-138.42,
Chequing,10001-1000001,4/6/2026,,SCHEDULED PAYMENT,VISA PAYMENT,-659.60,
Chequing,10001-1000001,4/8/2026,,MISC PAYMENT,FIBRELINE INTERNET,-82.35,
Chequing,10001-1000001,4/12/2026,,MISC PAYMENT,MOBILE NORTH,-64.18,
Chequing,10001-1000001,4/15/2026,,PAYROLL DEPOSIT,NORTHSTAR ANALYTICS,3125.40,
Chequing,10001-1000001,4/16/2026,,Transfer,WWW TRANSFER - 9661,-650.00,
Chequing,10001-1000001,4/30/2026,,PAYROLL DEPOSIT,NORTHSTAR ANALYTICS,3125.40,
Chequing,10001-1000001,5/1/2026,,RENT PAYMENT,PRAIRIE VIEW APARTMENTS,-1950.00,
Chequing,10001-1000001,5/2/2026,,MONTHLY FEE,,-5.00,
Chequing,10001-1000001,5/2/2026,,MULTIPRODUCT REBATE,,5.00,
Chequing,10001-1000001,5/4/2026,,INSURANCE,PRAIRIE SHIELD INS,-138.42,
Chequing,10001-1000001,5/6/2026,,SCHEDULED PAYMENT,VISA PAYMENT,-634.34,
Chequing,10001-1000001,5/8/2026,,MISC PAYMENT,FIBRELINE INTERNET,-82.35,
Chequing,10001-1000001,5/12/2026,,MISC PAYMENT,MOBILE NORTH,-64.18,
Chequing,10001-1000001,5/15/2026,,PAYROLL DEPOSIT,NORTHSTAR ANALYTICS,3125.40,
Chequing,10001-1000001,5/16/2026,,Transfer,WWW TRANSFER - 1036,-650.00,
Chequing,10001-1000001,5/29/2026,,PAYROLL DEPOSIT,NORTHSTAR ANALYTICS,3125.40,
Chequing,10001-1000001,6/1/2026,,RENT PAYMENT,PRAIRIE VIEW APARTMENTS,-1950.00,
Chequing,10001-1000001,6/2/2026,,MONTHLY FEE,,-5.00,
Chequing,10001-1000001,6/2/2026,,MULTIPRODUCT REBATE,,5.00,
Chequing,10001-1000001,6/4/2026,,INSURANCE,PRAIRIE SHIELD INS,-138.42,
Chequing,10001-1000001,6/6/2026,,SCHEDULED PAYMENT,VISA PAYMENT,-679.04,
Chequing,10001-1000001,6/8/2026,,MISC PAYMENT,FIBRELINE INTERNET,-82.35,
Chequing,10001-1000001,6/12/2026,,MISC PAYMENT,MOBILE NORTH,-64.18,
Chequing,10001-1000001,6/15/2026,,PAYROLL DEPOSIT,NORTHSTAR ANALYTICS,3125.40,
Chequing,10001-1000001,6/16/2026,,Transfer,WWW TRANSFER - 2665,-650.00,
Chequing,10001-1000001,6/30/2026,,PAYROLL DEPOSIT,NORTHSTAR ANALYTICS,3125.40,
Savings,10001-2000001,1/16/2026,,Transfer,MONTHLY SAVINGS,650.00,
Savings,10001-2000001,1/31/2026,,DEPOSIT INTEREST,,1.57,
Savings,10001-2000001,2/16/2026,,Transfer,MONTHLY SAVINGS,650.00,
Savings,10001-2000001,2/28/2026,,DEPOSIT INTEREST,,1.20,
Savings,10001-2000001,3/16/2026,,Transfer,MONTHLY SAVINGS,650.00,
Savings,10001-2000001,3/31/2026,,DEPOSIT INTEREST,,1.66,
Savings,10001-2000001,4/16/2026,,Transfer,MONTHLY SAVINGS,650.00,
Savings,10001-2000001,4/30/2026,,DEPOSIT INTEREST,,1.87,
Savings,10001-2000001,5/16/2026,,Transfer,MONTHLY SAVINGS,650.00,
Savings,10001-2000001,5/31/2026,,DEPOSIT INTEREST,,0.52,
Savings,10001-2000001,6/16/2026,,Transfer,MONTHLY SAVINGS,650.00,
Savings,10001-2000001,6/30/2026,,DEPOSIT INTEREST,,2.76,
Visa,4.00001E+15,1/3/2026,,EVERGREEN DEPARTMENT STORE,,-110.67,
Visa,4.00001E+15,1/4/2026,,WILLOW COFFEE HOUSE REGINA SK,,-8.50,
Visa,4.00001E+15,1/6/2026,,SOUNDWAVE MUSIC,RECURRING PURCHASE,-10.26,
Visa,4.00001E+15,1/14/2026,,STREAMFLIX CANADA,RECURRING PURCHASE,-22.58,
Visa,4.00001E+15,1/16/2026,,PRAIRIE CARE DRUGS,,-35.38,
Visa,4.00001E+15,1/18/2026,,ONLINE MARKETPLACE CA,ONLINE PURCHASE,-87.53,
Visa,4.00001E+15,1/18/2026,,STREAMFLIX CANADA,RECURRING PURCHASE,-23.34,
Visa,4.00001E+15,1/19/2026,,SOUNDWAVE MUSIC,RECURRING PURCHASE,-8.89,
Visa,4.00001E+15,1/19/2026,,WILLOW COFFEE HOUSE REGINA SK,,-8.78,
