Account Type,Account Number,Transaction Date,Cheque Number,Description 1,Description 2,CAD$,USD$
Chequing,10002-1000002,1/1/2026,,MORTGAGE PAYMENT,RBC HOMELINE PLAN,-2845.76,
Chequing,10002-1000002,1/3/2026,,SCHEDULED PAYMENT,LITTLE SPROUTS CHILDCARE,-1095.00,
Chequing,10002-1000002,1/5/2026,,MISC PAYMENT,CITY POWER AND WATER,-278.47,
Chequing,10002-1000002,1/9/2026,,MISC PAYMENT,FIBRELINE INTERNET,-96.20,
Chequing,10002-1000002,1/11/2026,,INSURANCE,PRAIRIE SHIELD HOME AUTO,-374.55,
Chequing,10002-1000002,1/14/2026,,PAYROLL DEPOSIT,PRAIRIE HEALTH NETWORK,3475.80,
Chequing,10002-1000002,1/17/2026,,MISC PAYMENT,MOBILE NORTH FAMILY,-148.35,
Chequing,10002-1000002,1/20/2026,,GOVERNMENT PAYMENT,CANADA CHILD BENEFIT,612.44,
Chequing,10002-1000002,1/21/2026,,Transfer,WWW TRANSFER - 9196,-400.00,
Chequing,10002-1000002,1/30/2026,,PAYROLL DEPOSIT,WESTLAND CONSTRUCTION,2910.25,
Chequing,10002-1000002,2/1/2026,,MORTGAGE PAYMENT,RBC HOMELINE PLAN,-2845.76,
Chequing,10002-1000002,2/3/2026,,SCHEDULED PAYMENT,LITTLE SPROUTS CHILDCARE,-1095.00,
Chequing,10002-1000002,2/5/2026,,MISC PAYMENT,CITY POWER AND WATER,-296.85,
Chequing,10002-1000002,2/7/2026,,SCHEDULED PAYMENT,VISA PAYMENT,-1809.32,
Chequing,10002-1000002,2/9/2026,,MISC PAYMENT,FIBRELINE INTERNET,-96.20,
Chequing,10002-1000002,2/11/2026,,INSURANCE,PRAIRIE SHIELD HOME AUTO,-374.55,
Chequing,10002-1000002,2/14/2026,,PAYROLL DEPOSIT,PRAIRIE HEALTH NETWORK,3475.80,
Chequing,10002-1000002,2/17/2026,,MISC PAYMENT,MOBILE NORTH FAMILY,-148.35,
Chequing,10002-1000002,2/20/2026,,GOVERNMENT PAYMENT,CANADA CHILD BENEFIT,612.44,
Chequing,10002-1000002,2/21/2026,,Transfer,WWW TRANSFER - 9131,-400.00,
Chequing,10002-1000002,2/27/2026,,PAYROLL DEPOSIT,WESTLAND CONSTRUCTION,2910.25,
Chequing,10002-1000002,3/1/2026,,MORTGAGE PAYMENT,RBC HOMELINE PLAN,-2845.76,
Chequing,10002-1000002,3/3/2026,,SCHEDULED PAYMENT,LITTLE SPROUTS CHILDCARE,-1095.00,
Chequing,10002-1000002,3/5/2026,,MISC PAYMENT,CITY POWER AND WATER,-292.93,
Chequing,10002-1000002,3/7/2026,,SCHEDULED PAYMENT,VISA PAYMENT,-2463.20,
Chequing,10002-1000002,3/9/2026,,MISC PAYMENT,FIBRELINE INTERNET,-96.20,
Chequing,10002-1000002,3/11/2026,,INSURANCE,PRAIRIE SHIELD HOME AUTO,-374.55,
Chequing,10002-1000002,3/14/2026,,PAYROLL DEPOSIT,PRAIRIE HEALTH NETWORK,3475.80,
Chequing,10002-1000002,3/17/2026,,MISC PAYMENT,MOBILE NORTH FAMILY,-148.35,
Chequing,10002-1000002,3/20/2026,,GOVERNMENT PAYMENT,CANADA CHILD BENEFIT,612.44,
Chequing,10002-1000002,3/21/2026,,Transfer,WWW TRANSFER - 9023,-400.00,
Chequing,10002-1000002,3/31/2026,,PAYROLL DEPOSIT,WESTLAND CONSTRUCTION,2910.25,
Chequing,10002-1000002,4/1/2026,,MORTGAGE PAYMENT,RBC HOMELINE PLAN,-2845.76,
Chequing,10002-1000002,4/3/2026,,SCHEDULED PAYMENT,LITTLE SPROUTS CHILDCARE,-1095.00,
Chequing,10002-1000002,4/5/2026,,MISC PAYMENT,CITY POWER AND WATER,-288.72,
Chequing,10002-1000002,4/7/2026,,SCHEDULED PAYMENT,VISA PAYMENT,-2116.70,
Chequing,10002-1000002,4/9/2026,,MISC PAYMENT,FIBRELINE INTERNET,-96.20,
Chequing,10002-1000002,4/11/2026,,INSURANCE,PRAIRIE SHIELD HOME AUTO,-374.55,
Chequing,10002-1000002,4/14/2026,,PAYROLL DEPOSIT,PRAIRIE HEALTH NETWORK,3475.80,
Chequing,10002-1000002,4/17/2026,,MISC PAYMENT,MOBILE NORTH FAMILY,-148.35,
Chequing,10002-1000002,4/20/2026,,GOVERNMENT PAYMENT,CANADA CHILD BENEFIT,612.44,
Chequing,10002-1000002,4/21/2026,,Transfer,WWW TRANSFER - 9430,-400.00,
Chequing,10002-1000002,4/30/2026,,PAYROLL DEPOSIT,WESTLAND CONSTRUCTION,2910.25,
Chequing,10002-1000002,5/1/2026,,MORTGAGE PAYMENT,RBC HOMELINE PLAN,-2845.76,
Chequing,10002-1000002,5/3/2026,,SCHEDULED PAYMENT,LITTLE SPROUTS CHILDCARE,-1095.00,
Chequing,10002-1000002,5/5/2026,,MISC PAYMENT,CITY POWER AND WATER,-251.86,
Chequing,10002-1000002,5/7/2026,,SCHEDULED PAYMENT,VISA PAYMENT,-2101.15,
Chequing,10002-1000002,5/9/2026,,MISC PAYMENT,FIBRELINE INTERNET,-96.20,
Chequing,10002-1000002,5/11/2026,,INSURANCE,PRAIRIE SHIELD HOME AUTO,-374.55,
Chequing,10002-1000002,5/14/2026,,PAYROLL DEPOSIT,PRAIRIE HEALTH NETWORK,3475.80,
Chequing,10002-1000002,5/17/2026,,MISC PAYMENT,MOBILE NORTH FAMILY,-148.35,
Chequing,10002-1000002,5/20/2026,,GOVERNMENT PAYMENT,CANADA CHILD BENEFIT,612.44,
Chequing,10002-1000002,5/21/2026,,Transfer,WWW TRANSFER - 7213,-400.00,
Chequing,10002-1000002,5/29/2026,,PAYROLL DEPOSIT,WESTLAND CONSTRUCTION,2910.25,
Chequing,10002-1000002,6/1/2026,,MORTGAGE PAYMENT,RBC HOMELINE PLAN,-2845.76,
Chequing,10002-1000002,6/3/2026,,SCHEDULED PAYMENT,LITTLE SPROUTS CHILDCARE,-1095.00,
Chequing,10002-1000002,6/5/2026,,MISC PAYMENT,CITY POWER AND WATER,-301.71,
Chequing,10002-1000002,6/7/2026,,SCHEDULED PAYMENT,VISA PAYMENT,-2169.84,
Chequing,10002-1000002,6/9/2026,,MISC PAYMENT,FIBRELINE INTERNET,-96.20,
Chequing,10002-1000002,6/11/2026,,INSURANCE,PRAIRIE SHIELD HOME AUTO,-374.55,
Chequing,10002-1000002,6/14/2026,,PAYROLL DEPOSIT,PRAIRIE HEALTH NETWORK,3475.80,
Chequing,10002-1000002,6/17/2026,,MISC PAYMENT,MOBILE NORTH FAMILY,-148.35,
Chequing,10002-1000002,6/20/2026,,GOVERNMENT PAYMENT,CANADA CHILD BENEFIT,612.44,
Chequing,10002-1000002,6/21/2026,,Transfer,WWW TRANSFER - 4541,-400.00,
Chequing,10002-1000002,6/30/2026,,PAYROLL DEPOSIT,WESTLAND CONSTRUCTION,2910.25,
Savings,10002-2000002,1/21/2026,,Transfer,FAMILY EMERGENCY FUND,400.00,
Savings,10002-2000002,1/31/2026,,DEPOSIT INTEREST,,6.04,
Savings,10002-2000002,2/21/2026,,Transfer,FAMILY EMERGENCY FUND,400.00,
Savings,10002-2000002,2/28/2026,,DEPOSIT INTEREST,,6.40,
Savings,10002-2000002,3/21/2026,,Transfer,FAMILY EMERGENCY FUND,400.00,
Savings,10002-2000002,3/31/2026,,DEPOSIT INTEREST,,5.21,
Savings,10002-2000002,4/21/2026,,Transfer,FAMILY EMERGENCY FUND,400.00,
Savings,10002-2000002,4/30/2026,,DEPOSIT INTEREST,,4.90,
Savings,10002-2000002,5/21/2026,,Transfer,FAMILY EMERGENCY FUND,400.00,
Savings,10002-2000002,5/31/2026,,DEPOSIT INTEREST,,4.07,
Savings,10002-2000002,6/21/2026,,Transfer,FAMILY EMERGENCY FUND,400.00,
Savings,10002-2000002,6/30/2026,,DEPOSIT INTEREST,,4.36,
Visa,4.00002E+15,1/1/2026,,COPPER MUG CAFE REGINA SK,,-16.31,
Visa,4.00002E+15,1/1/2026,,KIDS CORNER CLOTHING,,-59.50,
Visa,4.00002E+15,1/1/2026,,PRAIRIE FUEL #22 REGINA SK,,-87.64,
Visa,4.00002E+15,1/2/2026,,COPPER MUG CAFE REGINA SK,,-11.94,
Visa,4.00002E+15,1/3/2026,,LITTLE SPROUTS CHILDCARE,,-158.30,
Visa,4.00002E+15,1/3/2026,,PRAIRIE MARKET #104 REGINA SK,,-45.85,
Visa,4.00002E+15,1/4/2026,,COPPER MUG CAFE REGINA SK,,-19.05,
Visa,4.00002E+15,1/4/2026,,EVERGREEN DEPARTMENT STORE,,-92.98,
Visa,4.00002E+15,1/5/2026,,COPPER MUG CAFE REGINA SK,,-20.52,
Visa,4.00002E+15,1/6/2026,,FAMILY FUN CENTRE REGINA SK,,-20.92,
Visa,4.00002E+15,1/6/2026,,LITTLE SPROUTS CHILDCARE,,-80.08,
Visa,4.00002E+15,1/9/2026,,ONLINE MARKETPLACE CA,ONLINE PURCHASE,-58.98,
Visa,4.00002E+15,1/9/2026,,PARKSIDE PIZZA REGINA SK,,-29.45,
Visa,4.00002E+15,1/10/2026,,COPPER MUG CAFE REGINA SK,,-4.78,
Visa,4.00002E+15,1/10/2026,,HARVEST FOODS #221 REGINA SK,,-118.27,
Visa,4.00002E+15,1/10/2026,,HOMESTEAD HARDWARE REGINA SK,,-61.67,
Visa,4.00002E+15,1/11/2026,,ONLINE MARKETPLACE CA,ONLINE PURCHASE,-35.90,
Visa,4.00002E+15,1/12/2026,,COPPER MUG CAFE REGINA SK,,-11.94,
Visa,4.00002E+15,1/15/2026,,PRAIRIE CARE DRUGS,,-40.47,
Visa,4.00002E+15,1/15/2026,,PRAIRIE MARKET #104 REGINA SK,,-130.67,
