Account Type,Account Number,Transaction Date,Cheque Number,Description 1,Description 2,CAD$,USD$
Chequing,10003-1000003,1/1/2026,,RENT PAYMENT,LOFTWORK RESIDENCES,-1625.00,
Chequing,10003-1000003,1/3/2026,,E-TRF AUTODEPOSIT,BLUEBIRD EVENTS,539.76,
Chequing,10003-1000003,1/4/2026,,MISC PAYMENT,NORTHWIND MEDIA,2268.67,
Chequing,10003-1000003,1/6/2026,,MISC PAYMENT,FIBRELINE INTERNET,-94.10,
Chequing,10003-1000003,1/7/2026,,MISC PAYMENT,CEDAR CREATIVE CO,1784.11,
Chequing,10003-1000003,1/10/2026,,E-TRF AUTODEPOSIT,CEDAR CREATIVE CO,1359.40,
Chequing,10003-1000003,1/10/2026,,MISC PAYMENT,MOBILE NORTH,-78.45,
Chequing,10003-1000003,1/13/2026,,INSURANCE,INDEPENDENT PROTECT,-119.80,
Chequing,10003-1000003,1/25/2026,,MISC PAYMENT,CEDAR CREATIVE CO,1941.77,
Chequing,10003-1000003,1/26/2026,,MISC PAYMENT,PRAIRIE TECH STUDIO,2186.53,
Chequing,10003-1000003,1/27/2026,,Transfer,WWW TRANSFER - 1171,-2217.65,
Chequing,10003-1000003,2/1/2026,,RENT PAYMENT,LOFTWORK RESIDENCES,-1625.00,
Chequing,10003-1000003,2/6/2026,,MISC PAYMENT,FIBRELINE INTERNET,-94.10,
Chequing,10003-1000003,2/8/2026,,SCHEDULED PAYMENT,VISA PAYMENT,-615.20,
Chequing,10003-1000003,2/10/2026,,MISC PAYMENT,MOBILE NORTH,-78.45,
Chequing,10003-1000003,2/13/2026,,INSURANCE,INDEPENDENT PROTECT,-119.80,
Chequing,10003-1000003,2/21/2026,,E-TRF AUTODEPOSIT,PRAIRIE TECH STUDIO,1789.13,
Chequing,10003-1000003,2/23/2026,,MISC PAYMENT,PRAIRIE TECH STUDIO,1759.79,
Chequing,10003-1000003,2/27/2026,,Transfer,WWW TRANSFER - 4136,-780.76,
Chequing,10003-1000003,3/1/2026,,RENT PAYMENT,LOFTWORK RESIDENCES,-1625.00,
Chequing,10003-1000003,3/3/2026,,E-TRF AUTODEPOSIT,CEDAR CREATIVE CO,493.89,
Chequing,10003-1000003,3/5/2026,,E-TRF AUTODEPOSIT,BLUEBIRD EVENTS,1491.67,
Chequing,10003-1000003,3/6/2026,,MISC PAYMENT,FIBRELINE INTERNET,-94.10,
Chequing,10003-1000003,3/6/2026,,MISC PAYMENT,NORTHWIND MEDIA,1511.95,
Chequing,10003-1000003,3/8/2026,,SCHEDULED PAYMENT,VISA PAYMENT,-1007.56,
Chequing,10003-1000003,3/10/2026,,MISC PAYMENT,MOBILE NORTH,-78.45,
Chequing,10003-1000003,3/11/2026,,E-TRF AUTODEPOSIT,BLUEBIRD EVENTS,1918.33,
Chequing,10003-1000003,3/12/2026,,MISC PAYMENT,PRAIRIE TECH STUDIO,715.65,
Chequing,10003-1000003,3/13/2026,,INSURANCE,INDEPENDENT PROTECT,-119.80,
Chequing,10003-1000003,3/22/2026,,MISC PAYMENT,NORTHWIND MEDIA,1718.18,
Chequing,10003-1000003,3/27/2026,,Transfer,WWW TRANSFER - 3159,-1726.93,
Chequing,10003-1000003,4/1/2026,,RENT PAYMENT,LOFTWORK RESIDENCES,-1625.00,
Chequing,10003-1000003,4/6/2026,,MISC PAYMENT,FIBRELINE INTERNET,-94.10,
Chequing,10003-1000003,4/8/2026,,SCHEDULED PAYMENT,VISA PAYMENT,-787.80,
Chequing,10003-1000003,4/10/2026,,MISC PAYMENT,MOBILE NORTH,-78.45,
Chequing,10003-1000003,4/11/2026,,MISC PAYMENT,CEDAR CREATIVE CO,1494.22,
Chequing,10003-1000003,4/13/2026,,INSURANCE,INDEPENDENT PROTECT,-119.80,
Chequing,10003-1000003,4/14/2026,,E-TRF AUTODEPOSIT,BLUEBIRD EVENTS,818.28,
Chequing,10003-1000003,4/18/2026,,MISC PAYMENT,PRAIRIE TECH STUDIO,805.04,
Chequing,10003-1000003,4/19/2026,,E-TRF AUTODEPOSIT,NORTHWIND MEDIA,1590.36,
Chequing,10003-1000003,4/22/2026,,MISC PAYMENT,BLUEBIRD EVENTS,654.40,
Chequing,10003-1000003,4/27/2026,,Transfer,WWW TRANSFER - 3739,-1179.71,
Chequing,10003-1000003,4/30/2026,,TAX PAYMENT,CRA BUSINESS REMITTANCE,-1180.00,
Chequing,10003-1000003,5/1/2026,,RENT PAYMENT,LOFTWORK RESIDENCES,-1625.00,
Chequing,10003-1000003,5/4/2026,,E-TRF AUTODEPOSIT,NORTHWIND MEDIA,1390.75,
Chequing,10003-1000003,5/4/2026,,MISC PAYMENT,BLUEBIRD EVENTS,2180.83,
Chequing,10003-1000003,5/6/2026,,MISC PAYMENT,FIBRELINE INTERNET,-94.10,
Chequing,10003-1000003,5/8/2026,,SCHEDULED PAYMENT,VISA PAYMENT,-880.81,
Chequing,10003-1000003,5/10/2026,,MISC PAYMENT,MOBILE NORTH,-78.45,
Chequing,10003-1000003,5/10/2026,,MISC PAYMENT,NORTHWIND MEDIA,1650.97,
Chequing,10003-1000003,5/13/2026,,INSURANCE,INDEPENDENT PROTECT,-119.80,
Chequing,10003-1000003,5/16/2026,,MISC PAYMENT,BLUEBIRD EVENTS,931.23,
Chequing,10003-1000003,5/18/2026,,E-TRF AUTODEPOSIT,BLUEBIRD EVENTS,1710.53,
Chequing,10003-1000003,5/24/2026,,E-TRF AUTODEPOSIT,CEDAR CREATIVE CO,2202.36,
Chequing,10003-1000003,5/27/2026,,Transfer,WWW TRANSFER - 3189,-2214.67,
Chequing,10003-1000003,6/1/2026,,RENT PAYMENT,LOFTWORK RESIDENCES,-1625.00,
Chequing,10003-1000003,6/6/2026,,MISC PAYMENT,FIBRELINE INTERNET,-94.10,
Chequing,10003-1000003,6/8/2026,,SCHEDULED PAYMENT,VISA PAYMENT,-718.96,
Chequing,10003-1000003,6/9/2026,,E-TRF AUTODEPOSIT,BLUEBIRD EVENTS,1410.52,
Chequing,10003-1000003,6/10/2026,,MISC PAYMENT,MOBILE NORTH,-78.45,
Chequing,10003-1000003,6/13/2026,,INSURANCE,INDEPENDENT PROTECT,-119.80,
Chequing,10003-1000003,6/17/2026,,E-TRF AUTODEPOSIT,NORTHWIND MEDIA,1217.74,
Chequing,10003-1000003,6/22/2026,,MISC PAYMENT,PRAIRIE TECH STUDIO,1731.83,
Chequing,10003-1000003,6/27/2026,,Transfer,WWW TRANSFER - 1258,-959.22,
Savings,10003-2000003,1/27/2026,,Transfer,TAX RESERVE,2217.65,
Savings,10003-2000003,1/31/2026,,DEPOSIT INTEREST,,1.55,
Savings,10003-2000003,2/27/2026,,Transfer,TAX RESERVE,780.76,
Savings,10003-2000003,2/28/2026,,DEPOSIT INTEREST,,0.73,
Savings,10003-2000003,3/27/2026,,Transfer,TAX RESERVE,1726.93,
Savings,10003-2000003,3/31/2026,,DEPOSIT INTEREST,,2.76,
Savings,10003-2000003,4/27/2026,,Transfer,TAX RESERVE,1179.71,
