Account Type,Account Number,Transaction Date,Cheque Number,Description 1,Description 2,CAD$,USD$
Chequing,10004-1000004,1/1/2026,,RENT PAYMENT,UNIVERSITY HOUSING,-825.00,
Chequing,10004-1000004,1/2/2026,,MONTHLY FEE,,-4.00,
Chequing,10004-1000004,1/3/2026,,STUDENT FUNDING,PROVINCIAL STUDENT AID,2850.00,
Chequing,10004-1000004,1/4/2026,,MISC PAYMENT,MOBILE NORTH STUDENT,-42.00,
Chequing,10004-1000004,1/5/2026,,MISC PAYMENT,CITY TRANSIT PASS,-88.00,
Chequing,10004-1000004,1/7/2026,,TUITION PAYMENT,PRAIRIE UNIVERSITY,-2385.00,
Chequing,10004-1000004,1/12/2026,,PAYROLL DEPOSIT,CAMPUS RECREATION,675.25,
Chequing,10004-1000004,1/26/2026,,PAYROLL DEPOSIT,CAMPUS RECREATION,675.25,
Chequing,10004-1000004,2/1/2026,,RENT PAYMENT,UNIVERSITY HOUSING,-825.00,
Chequing,10004-1000004,2/2/2026,,MONTHLY FEE,,-4.00,
Chequing,10004-1000004,2/4/2026,,MISC PAYMENT,MOBILE NORTH STUDENT,-42.00,
Chequing,10004-1000004,2/5/2026,,MISC PAYMENT,CITY TRANSIT PASS,-88.00,
Chequing,10004-1000004,2/12/2026,,PAYROLL DEPOSIT,CAMPUS RECREATION,675.25,
Chequing,10004-1000004,2/15/2026,,SCHEDULED PAYMENT,VISA PAYMENT,-545.93,
Chequing,10004-1000004,2/26/2026,,PAYROLL DEPOSIT,CAMPUS RECREATION,675.25,
Chequing,10004-1000004,2/28/2026,,Transfer,WWW TRANSFER - 2942,-75.00,
Chequing,10004-1000004,3/1/2026,,RENT PAYMENT,UNIVERSITY HOUSING,-825.00,
Chequing,10004-1000004,3/2/2026,,MONTHLY FEE,,-4.00,
Chequing,10004-1000004,3/4/2026,,MISC PAYMENT,MOBILE NORTH STUDENT,-42.00,
Chequing,10004-1000004,3/5/2026,,MISC PAYMENT,CITY TRANSIT PASS,-88.00,
Chequing,10004-1000004,3/12/2026,,PAYROLL DEPOSIT,CAMPUS RECREATION,675.25,
Chequing,10004-1000004,3/15/2026,,SCHEDULED PAYMENT,VISA PAYMENT,-457.95,
Chequing,10004-1000004,3/19/2026,,NSF ITEM FEE,,-45.00,
Chequing,10004-1000004,3/21/2026,,FEE REVERSAL,COURTESY REFUND,45.00,
Chequing,10004-1000004,3/26/2026,,PAYROLL DEPOSIT,CAMPUS RECREATION,675.25,
Chequing,10004-1000004,4/1/2026,,RENT PAYMENT,UNIVERSITY HOUSING,-825.00,
Chequing,10004-1000004,4/2/2026,,MONTHLY FEE,,-4.00,
Chequing,10004-1000004,4/4/2026,,MISC PAYMENT,MOBILE NORTH STUDENT,-42.00,
Chequing,10004-1000004,4/5/2026,,MISC PAYMENT,CITY TRANSIT PASS,-88.00,
Chequing,10004-1000004,4/12/2026,,PAYROLL DEPOSIT,CAMPUS RECREATION,675.25,
Chequing,10004-1000004,4/15/2026,,SCHEDULED PAYMENT,VISA PAYMENT,-499.86,
Chequing,10004-1000004,4/26/2026,,PAYROLL DEPOSIT,CAMPUS RECREATION,675.25,
Chequing,10004-1000004,4/28/2026,,Transfer,WWW TRANSFER - 4932,-75.00,
Chequing,10004-1000004,5/1/2026,,RENT PAYMENT,UNIVERSITY HOUSING,-825.00,
Chequing,10004-1000004,5/2/2026,,MONTHLY FEE,,-4.00,
Chequing,10004-1000004,5/3/2026,,STUDENT FUNDING,PROVINCIAL STUDENT AID,2850.00,
Chequing,10004-1000004,5/4/2026,,MISC PAYMENT,MOBILE NORTH STUDENT,-42.00,
Chequing,10004-1000004,5/5/2026,,MISC PAYMENT,CITY TRANSIT PASS,-88.00,
Chequing,10004-1000004,5/7/2026,,TUITION PAYMENT,PRAIRIE UNIVERSITY,-2385.00,
Chequing,10004-1000004,5/12/2026,,PAYROLL DEPOSIT,CAMPUS RECREATION,675.25,
Chequing,10004-1000004,5/15/2026,,SCHEDULED PAYMENT,VISA PAYMENT,-339.90,
Chequing,10004-1000004,5/26/2026,,PAYROLL DEPOSIT,CAMPUS RECREATION,675.25,
Chequing,10004-1000004,6/1/2026,,RENT PAYMENT,UNIVERSITY HOUSING,-825.00,
Chequing,10004-1000004,6/2/2026,,MONTHLY FEE,,-4.00,
Chequing,10004-1000004,6/4/2026,,MISC PAYMENT,MOBILE NORTH STUDENT,-42.00,
Chequing,10004-1000004,6/5/2026,,MISC PAYMENT,CITY TRANSIT PASS,-88.00,
Chequing,10004-1000004,6/12/2026,,PAYROLL DEPOSIT,CAMPUS RECREATION,675.25,
Chequing,10004-1000004,6/15/2026,,SCHEDULED PAYMENT,VISA PAYMENT,-598.92,
Chequing,10004-1000004,6/26/2026,,PAYROLL DEPOSIT,CAMPUS RECREATION,675.25,
Chequing,10004-1000004,6/28/2026,,Transfer,WWW TRANSFER - 5865,-75.00,
Savings,10004-2000004,1/31/2026,,DEPOSIT INTEREST,,0.24,
Savings,10004-2000004,2/28/2026,,DEPOSIT INTEREST,,0.25,
Savings,10004-2000004,2/28/2026,,Transfer,SMALL EMERGENCY FUND,75.00,
Savings,10004-2000004,3/31/2026,,DEPOSIT INTEREST,,0.40,
Savings,10004-2000004,4/28/2026,,Transfer,SMALL EMERGENCY FUND,75.00,
Savings,10004-2000004,4/30/2026,,DEPOSIT INTEREST,,0.36,
Savings,10004-2000004,5/31/2026,,DEPOSIT INTEREST,,0.50,
Savings,10004-2000004,6/28/2026,,Transfer,SMALL EMERGENCY FUND,75.00,
Savings,10004-2000004,6/30/2026,,DEPOSIT INTEREST,,0.40,
Visa,4.00004E+15,1/1/2026,,CAMPUS BOOKSTORE,,-49.19,
Visa,4.00004E+15,1/3/2026,,CAMPUS BOOKSTORE,,-13.51,
Visa,4.00004E+15,1/4/2026,,PRAIRIE CARE DRUGS,,-14.65,
Visa,4.00004E+15,1/6/2026,,NORTHSTAR GROCER #18 REGINA SK,,-113.95,
Visa,4.00004E+15,1/7/2026,,CITY TRANSIT PASS,,-62.61,
Visa,4.00004E+15,1/7/2026,,STUDENT UNION CAFE,,-6.14,
Visa,4.00004E+15,1/13/2026,,PRAIRIE CARE DRUGS,,-36.77,
Visa,4.00004E+15,1/17/2026,,MAPLE BOWL KITCHEN REGINA SK,,-21.58,
Visa,4.00004E+15,1/18/2026,,WILLOW COFFEE HOUSE REGINA SK,,-8.19,
Visa,4.00004E+15,1/19/2026,,CAMPUS BOOKSTORE,,-82.13,
Visa,4.00004E+15,1/19/2026,,CAMPUS BOOKSTORE,,-35.83,
Visa,4.00004E+15,1/23/2026,,CAMPUS BOOKSTORE,,-32.67,
Visa,4.00004E+15,1/24/2026,,PRAIRIE MARKET #104 REGINA SK,,-102.17,
Visa,4.00004E+15,1/28/2026,,CAMPUS BOOKSTORE,,-62.88,
Visa,4.00004E+15,2/1/2026,,MAPLE BOWL KITCHEN REGINA SK,,-28.75,
Visa,4.00004E+15,2/2/2026,,COPPER MUG CAFE REGINA SK,,-8.27,
Visa,4.00004E+15,2/6/2026,,PRAIRIE CARE DRUGS,,-40.15,
Visa,4.00004E+15,2/7/2026,,CITY TRANSIT PASS,,-52.81,
Visa,4.00004E+15,2/10/2026,,CITY TRANSIT PASS,,-55.45,
Visa,4.00004E+15,2/11/2026,,CITY TRANSIT PASS,,-57.89,
Visa,4.00004E+15,2/11/2026,,COPPER MUG CAFE REGINA SK,,-9.84,
Visa,4.00004E+15,2/12/2026,,PRAIRIE CARE DRUGS,,-33.16,
Visa,4.00004E+15,2/15/2026,,PAYMENT - THANK YOU / PAIEMENT - MERCI,,545.93,
Visa,4.00004E+15,2/18/2026,,HEALTHWAY PHARMACY #09,,-27.99,
Visa,4.00004E+15,2/22/2026,,CITY TRANSIT PASS,,-76.37,
Visa,4.00004E+15,2/23/2026,,HARVEST FOODS #221 REGINA SK,,-51.45,
Visa,4.00004E+15,2/27/2026,,CAMPUS BOOKSTORE,,-67.59,
