Account Type,Account Number,Transaction Date,Cheque Number,Description 1,Description 2,CAD$,USD$
Chequing,10005-1000005,1/1/2026,,MORTGAGE PAYMENT,RBC HOMELINE PLAN,-1640.20,
Chequing,10005-1000005,1/4/2026,,MISC PAYMENT,CITY POWER AND WATER,-157.66,
Chequing,10005-1000005,1/8/2026,,MISC PAYMENT,FIBRELINE INTERNET,-79.95,
Chequing,10005-1000005,1/12/2026,,INSURANCE,PRAIRIE SHIELD INS,-186.70,
Chequing,10005-1000005,1/15/2026,,PAYROLL DEPOSIT,SUMMIT SOFTWARE CANADA,5275.60,
Chequing,10005-1000005,1/16/2026,,Transfer,WWW TRANSFER - 1902,-3500.00,
Chequing,10005-1000005,1/28/2026,,Transfer,WWW TRANSFER - 4534,-1250.00,
Chequing,10005-1000005,1/30/2026,,PAYROLL DEPOSIT,SUMMIT SOFTWARE CANADA,5275.60,
Chequing,10005-1000005,2/1/2026,,MORTGAGE PAYMENT,RBC HOMELINE PLAN,-1640.20,
Chequing,10005-1000005,2/4/2026,,MISC PAYMENT,CITY POWER AND WATER,-171.66,
Chequing,10005-1000005,2/5/2026,,SCHEDULED PAYMENT,VISA PAYMENT,-1058.82,
Chequing,10005-1000005,2/8/2026,,MISC PAYMENT,FIBRELINE INTERNET,-79.95,
Chequing,10005-1000005,2/12/2026,,INSURANCE,PRAIRIE SHIELD INS,-186.70,
Chequing,10005-1000005,2/15/2026,,PAYROLL DEPOSIT,SUMMIT SOFTWARE CANADA,5275.60,
Chequing,10005-1000005,2/16/2026,,Transfer,WWW TRANSFER - 3680,-3500.00,
Chequing,10005-1000005,2/27/2026,,PAYROLL DEPOSIT,SUMMIT SOFTWARE CANADA,5275.60,
Chequing,10005-1000005,2/28/2026,,Transfer,WWW TRANSFER - 2045,-1250.00,
Chequing,10005-1000005,3/1/2026,,MORTGAGE PAYMENT,RBC HOMELINE PLAN,-1640.20,
Chequing,10005-1000005,3/4/2026,,MISC PAYMENT,CITY POWER AND WATER,-179.34,
Chequing,10005-1000005,3/5/2026,,SCHEDULED PAYMENT,VISA PAYMENT,-777.88,
Chequing,10005-1000005,3/8/2026,,MISC PAYMENT,FIBRELINE INTERNET,-79.95,
Chequing,10005-1000005,3/10/2026,,BONUS DEPOSIT,SUMMIT SOFTWARE CANADA,6200.00,
Chequing,10005-1000005,3/11/2026,,Transfer,WWW TRANSFER - 2968,-5500.00,
Chequing,10005-1000005,3/12/2026,,INSURANCE,PRAIRIE SHIELD INS,-186.70,
Chequing,10005-1000005,3/15/2026,,PAYROLL DEPOSIT,SUMMIT SOFTWARE CANADA,5275.60,
Chequing,10005-1000005,3/16/2026,,Transfer,WWW TRANSFER - 9478,-3500.00,
Chequing,10005-1000005,3/28/2026,,Transfer,WWW TRANSFER - 7648,-1250.00,
Chequing,10005-1000005,3/31/2026,,PAYROLL DEPOSIT,SUMMIT SOFTWARE CANADA,5275.60,
Chequing,10005-1000005,4/1/2026,,MORTGAGE PAYMENT,RBC HOMELINE PLAN,-1640.20,
Chequing,10005-1000005,4/4/2026,,MISC PAYMENT,CITY POWER AND WATER,-189.62,
Chequing,10005-1000005,4/5/2026,,SCHEDULED PAYMENT,VISA PAYMENT,-612.90,
Chequing,10005-1000005,4/8/2026,,MISC PAYMENT,FIBRELINE INTERNET,-79.95,
Chequing,10005-1000005,4/12/2026,,INSURANCE,PRAIRIE SHIELD INS,-186.70,
Chequing,10005-1000005,4/15/2026,,PAYROLL DEPOSIT,SUMMIT SOFTWARE CANADA,5275.60,
Chequing,10005-1000005,4/16/2026,,Transfer,WWW TRANSFER - 1529,-3500.00,
Chequing,10005-1000005,4/28/2026,,Transfer,WWW TRANSFER - 5673,-1250.00,
Chequing,10005-1000005,4/30/2026,,PAYROLL DEPOSIT,SUMMIT SOFTWARE CANADA,5275.60,
Chequing,10005-1000005,5/1/2026,,MORTGAGE PAYMENT,RBC HOMELINE PLAN,-1640.20,
Chequing,10005-1000005,5/4/2026,,MISC PAYMENT,CITY POWER AND WATER,-149.83,
Chequing,10005-1000005,5/5/2026,,SCHEDULED PAYMENT,VISA PAYMENT,-1131.15,
Chequing,10005-1000005,5/8/2026,,MISC PAYMENT,FIBRELINE INTERNET,-79.95,
Chequing,10005-1000005,5/12/2026,,INSURANCE,PRAIRIE SHIELD INS,-186.70,
Chequing,10005-1000005,5/15/2026,,PAYROLL DEPOSIT,SUMMIT SOFTWARE CANADA,5275.60,
Chequing,10005-1000005,5/16/2026,,Transfer,WWW TRANSFER - 5208,-3500.00,
Chequing,10005-1000005,5/28/2026,,Transfer,WWW TRANSFER - 1068,-1250.00,
Chequing,10005-1000005,5/29/2026,,PAYROLL DEPOSIT,SUMMIT SOFTWARE CANADA,5275.60,
Chequing,10005-1000005,6/1/2026,,MORTGAGE PAYMENT,RBC HOMELINE PLAN,-1640.20,
