Account Type,Account Number,Transaction Date,Cheque Number,Description 1,Description 2,CAD$,USD$
Chequing,10006-1000006,1/1/2026,,RENT PAYMENT,GLENVIEW RENTALS,-1845.00,
Chequing,10006-1000006,1/5/2026,,MISC PAYMENT,CITY POWER AND WATER,-173.95,
Chequing,10006-1000006,1/9/2026,,INSURANCE,PRAIRIE SHIELD AUTO,-248.35,
Chequing,10006-1000006,1/11/2026,,MISC PAYMENT,MOBILE NORTH,-92.10,
Chequing,10006-1000006,1/15/2026,,PAYROLL DEPOSIT,PRAIRIE SERVICE GROUP,1925.40,
Chequing,10006-1000006,1/30/2026,,PAYROLL DEPOSIT,PRAIRIE SERVICE GROUP,1925.40,
Chequing,10006-1000006,2/1/2026,,RENT PAYMENT,GLENVIEW RENTALS,-1845.00,
Chequing,10006-1000006,2/5/2026,,MISC PAYMENT,CITY POWER AND WATER,-212.94,
Chequing,10006-1000006,2/9/2026,,INSURANCE,PRAIRIE SHIELD AUTO,-248.35,
Chequing,10006-1000006,2/11/2026,,MISC PAYMENT,MOBILE NORTH,-92.10,
Chequing,10006-1000006,2/15/2026,,PAYROLL DEPOSIT,PRAIRIE SERVICE GROUP,1735.20,
Chequing,10006-1000006,2/18/2026,,SCHEDULED PAYMENT,VISA PAYMENT,-879.94,
Chequing,10006-1000006,2/22/2026,,AUTO REPAIR,PRAIRIE AUTO SERVICE,-1488.30,
Chequing,10006-1000006,2/23/2026,,Transfer,EMERGENCY TRANSFER,1250.00,
Chequing,10006-1000006,2/27/2026,,PAYROLL DEPOSIT,PRAIRIE SERVICE GROUP,1735.20,
Chequing,10006-1000006,3/1/2026,,RENT PAYMENT,GLENVIEW RENTALS,-1845.00,
Chequing,10006-1000006,3/5/2026,,MISC PAYMENT,CITY POWER AND WATER,-196.87,
Chequing,10006-1000006,3/9/2026,,INSURANCE,PRAIRIE SHIELD AUTO,-248.35,
Chequing,10006-1000006,3/11/2026,,MISC PAYMENT,MOBILE NORTH,-92.10,
Chequing,10006-1000006,3/15/2026,,PAYROLL DEPOSIT,PRAIRIE SERVICE GROUP,2010.15,
Chequing,10006-1000006,3/18/2026,,SCHEDULED PAYMENT,VISA PAYMENT,-1152.88,
Chequing,10006-1000006,3/31/2026,,PAYROLL DEPOSIT,PRAIRIE SERVICE GROUP,2010.15,
Chequing,10006-1000006,4/1/2026,,RENT PAYMENT,GLENVIEW RENTALS,-1845.00,
Chequing,10006-1000006,4/3/2026,,NSF ITEM FEE,,-45.00,
Chequing,10006-1000006,4/4/2026,,OVERDRAFT INTEREST,,-12.74,
Chequing,10006-1000006,4/5/2026,,MISC PAYMENT,CITY POWER AND WATER,-207.03,
Chequing,10006-1000006,4/9/2026,,INSURANCE,PRAIRIE SHIELD AUTO,-248.35,
Chequing,10006-1000006,4/11/2026,,MISC PAYMENT,MOBILE NORTH,-92.10,
Chequing,10006-1000006,4/15/2026,,PAYROLL DEPOSIT,PRAIRIE SERVICE GROUP,1812.75,
Chequing,10006-1000006,4/18/2026,,SCHEDULED PAYMENT,VISA PAYMENT,-902.41,
Chequing,10006-1000006,4/30/2026,,PAYROLL DEPOSIT,PRAIRIE SERVICE GROUP,1812.75,
Chequing,10006-1000006,5/1/2026,,RENT PAYMENT,GLENVIEW RENTALS,-1845.00,
Chequing,10006-1000006,5/5/2026,,MISC PAYMENT,CITY POWER AND WATER,-210.18,
Chequing,10006-1000006,5/7/2026,,TAX REFUND,CANADA,1864.22,
Chequing,10006-1000006,5/9/2026,,INSURANCE,PRAIRIE SHIELD AUTO,-248.35,
Chequing,10006-1000006,5/9/2026,,Transfer,WWW TRANSFER - 3164,-600.00,
Chequing,10006-1000006,5/11/2026,,MISC PAYMENT,MOBILE NORTH,-92.10,
Chequing,10006-1000006,5/15/2026,,PAYROLL DEPOSIT,PRAIRIE SERVICE GROUP,1690.30,
Chequing,10006-1000006,5/18/2026,,SCHEDULED PAYMENT,VISA PAYMENT,-643.10,
Chequing,10006-1000006,5/29/2026,,PAYROLL DEPOSIT,PRAIRIE SERVICE GROUP,1690.30,
Chequing,10006-1000006,6/1/2026,,RENT PAYMENT,GLENVIEW RENTALS,-1845.00,
Chequing,10006-1000006,6/5/2026,,MISC PAYMENT,CITY POWER AND WATER,-196.47,
Chequing,10006-1000006,6/9/2026,,INSURANCE,PRAIRIE SHIELD AUTO,-248.35,
Chequing,10006-1000006,6/11/2026,,MISC PAYMENT,MOBILE NORTH,-92.10,
Chequing,10006-1000006,6/15/2026,,PAYROLL DEPOSIT,PRAIRIE SERVICE GROUP,2055.80,
Chequing,10006-1000006,6/18/2026,,SCHEDULED PAYMENT,VISA PAYMENT,-580.84,
Chequing,10006-1000006,6/30/2026,,PAYROLL DEPOSIT,PRAIRIE SERVICE GROUP,2055.80,
Savings,10006-2000006,1/31/2026,,DEPOSIT INTEREST,,0.65,
Savings,10006-2000006,2/23/2026,,Transfer,WWW TRANSFER - 4436,-1250.00,
Savings,10006-2000006,2/28/2026,,DEPOSIT INTEREST,,0.12,
Savings,10006-2000006,3/31/2026,,DEPOSIT INTEREST,,0.64,
Savings,10006-2000006,4/30/2026,,DEPOSIT INTEREST,,0.09,
Savings,10006-2000006,5/9/2026,,Transfer,EMERGENCY FUND REBUILD,600.00,
Savings,10006-2000006,5/31/2026,,DEPOSIT INTEREST,,0.25,
Savings,10006-2000006,6/30/2026,,DEPOSIT INTEREST,,0.06,
Visa,4.00006E+15,1/2/2026,,CITY GARDEN CENTRE,,-85.52,
Visa,4.00006E+15,1/2/2026,,HARVEST FOODS #221 REGINA SK,,-85.29,
Visa,4.00006E+15,1/5/2026,,HARVEST FOODS #221 REGINA SK,,-78.28,
Visa,4.00006E+15,1/10/2026,,NORTHSTAR GROCER #18 REGINA SK,,-122.25,
Visa,4.00006E+15,1/11/2026,,PRAIRIE MARKET #104 REGINA SK,,-67.32,
Visa,4.00006E+15,1/14/2026,,WILLOW COFFEE HOUSE REGINA SK,,-4.64,
Visa,4.00006E+15,1/15/2026,,HEALTHWAY PHARMACY #09,,-21.56,
Visa,4.00006E+15,1/15/2026,,MAPLE BOWL KITCHEN REGINA SK,,-29.93,
Visa,4.00006E+15,1/16/2026,,HARVEST FOODS #221 REGINA SK,,-53.71,
Visa,4.00006E+15,1/18/2026,,PRAIRIE FUEL #22 REGINA SK,,-68.46,
Visa,4.00006E+15,1/18/2026,,PRAIRIE MARKET #104 REGINA SK,,-49.04,
Visa,4.00006E+15,1/19/2026,,PRAIRIE MARKET #104 REGINA SK,,-53.65,
Visa,4.00006E+15,1/20/2026,,CITY GARDEN CENTRE,,-39.57,
Visa,4.00006E+15,1/20/2026,,ONLINE MARKETPLACE CA,ONLINE PURCHASE,-20.53,
Visa,4.00006E+15,1/21/2026,,NORTH LOOP GAS REGINA SK,,-35.95,
Visa,4.00006E+15,1/22/2026,,NORTHSTAR GROCER #18 REGINA SK,,-26.51,
