Account Type,Account Number,Transaction Date,Cheque Number,Description 1,Description 2,CAD$,USD$
Chequing,10007-1000007,1/1/2026,,RENT PAYMENT,RIVER DISTRICT LOFTS,-1725.00,
Chequing,10007-1000007,1/6/2026,,MISC PAYMENT,FIBRELINE INTERNET,-84.20,
Chequing,10007-1000007,1/10/2026,,INSURANCE,PRAIRIE SHIELD INS,-144.85,
Chequing,10007-1000007,1/15/2026,,PAYROLL DEPOSIT,CANADIAN FIELD RESEARCH,3385.75,
Chequing,10007-1000007,1/17/2026,,Transfer,WWW TRANSFER - 9716,-500.00,
Chequing,10007-1000007,1/30/2026,,PAYROLL DEPOSIT,CANADIAN FIELD RESEARCH,3385.75,
Chequing,10007-1000007,2/1/2026,,RENT PAYMENT,RIVER DISTRICT LOFTS,-1725.00,
Chequing,10007-1000007,2/6/2026,,MISC PAYMENT,FIBRELINE INTERNET,-84.20,
Chequing,10007-1000007,2/8/2026,,SCHEDULED PAYMENT,VISA PAYMENT,-876.56,
Chequing,10007-1000007,2/10/2026,,INSURANCE,PRAIRIE SHIELD INS,-144.85,
Chequing,10007-1000007,2/15/2026,,PAYROLL DEPOSIT,CANADIAN FIELD RESEARCH,3385.75,
Chequing,10007-1000007,2/17/2026,,Transfer,WWW TRANSFER - 1156,-500.00,
Chequing,10007-1000007,2/27/2026,,PAYROLL DEPOSIT,CANADIAN FIELD RESEARCH,3385.75,
Chequing,10007-1000007,3/1/2026,,RENT PAYMENT,RIVER DISTRICT LOFTS,-1725.00,
Chequing,10007-1000007,3/6/2026,,MISC PAYMENT,FIBRELINE INTERNET,-84.20,
Chequing,10007-1000007,3/8/2026,,SCHEDULED PAYMENT,VISA PAYMENT,-801.64,
Chequing,10007-1000007,3/10/2026,,INSURANCE,PRAIRIE SHIELD INS,-144.85,
Chequing,10007-1000007,3/15/2026,,PAYROLL DEPOSIT,CANADIAN FIELD RESEARCH,3385.75,
Chequing,10007-1000007,3/17/2026,,Transfer,WWW TRANSFER - 1394,-500.00,
Chequing,10007-1000007,3/31/2026,,PAYROLL DEPOSIT,CANADIAN FIELD RESEARCH,3385.75,
Chequing,10007-1000007,4/1/2026,,RENT PAYMENT,RIVER DISTRICT LOFTS,-1725.00,
Chequing,10007-1000007,4/6/2026,,MISC PAYMENT,FIBRELINE INTERNET,-84.20,
Chequing,10007-1000007,4/8/2026,,SCHEDULED PAYMENT,VISA PAYMENT,-1015.12,
Chequing,10007-1000007,4/10/2026,,INSURANCE,PRAIRIE SHIELD INS,-144.85,
Chequing,10007-1000007,4/15/2026,,PAYROLL DEPOSIT,CANADIAN FIELD RESEARCH,3385.75,
Chequing,10007-1000007,4/17/2026,,Transfer,WWW TRANSFER - 8560,-500.00,
Chequing,10007-1000007,4/30/2026,,PAYROLL DEPOSIT,CANADIAN FIELD RESEARCH,3385.75,
Chequing,10007-1000007,5/1/2026,,RENT PAYMENT,RIVER DISTRICT LOFTS,-1725.00,
Chequing,10007-1000007,5/6/2026,,MISC PAYMENT,FIBRELINE INTERNET,-84.20,
Chequing,10007-1000007,5/8/2026,,SCHEDULED PAYMENT,VISA PAYMENT,-847.62,
Chequing,10007-1000007,5/10/2026,,INSURANCE,PRAIRIE SHIELD INS,-144.85,
Chequing,10007-1000007,5/15/2026,,PAYROLL DEPOSIT,CANADIAN FIELD RESEARCH,3385.75,
Chequing,10007-1000007,5/17/2026,,Transfer,WWW TRANSFER - 7487,-500.00,
Chequing,10007-1000007,5/29/2026,,PAYROLL DEPOSIT,CANADIAN FIELD RESEARCH,3385.75,
Chequing,10007-1000007,6/1/2026,,RENT PAYMENT,RIVER DISTRICT LOFTS,-1725.00,
Chequing,10007-1000007,6/6/2026,,MISC PAYMENT,FIBRELINE INTERNET,-84.20,
Chequing,10007-1000007,6/8/2026,,SCHEDULED PAYMENT,VISA PAYMENT,-859.44,
Chequing,10007-1000007,6/10/2026,,INSURANCE,PRAIRIE SHIELD INS,-144.85,
Chequing,10007-1000007,6/15/2026,,PAYROLL DEPOSIT,CANADIAN FIELD RESEARCH,3385.75,
Chequing,10007-1000007,6/17/2026,,Transfer,WWW TRANSFER - 3257,-500.00,
Chequing,10007-1000007,6/30/2026,,PAYROLL DEPOSIT,CANADIAN FIELD RESEARCH,3385.75,
Savings,10007-2000007,1/17/2026,,Transfer,TRAVEL AND EMERGENCY FUND,500.00,
Savings,10007-2000007,1/31/2026,,DEPOSIT INTEREST,,1.84,
Savings,10007-2000007,2/17/2026,,Transfer,TRAVEL AND EMERGENCY FUND,500.00,
Savings,10007-2000007,2/28/2026,,DEPOSIT INTEREST,,3.36,
Savings,10007-2000007,3/17/2026,,Transfer,TRAVEL AND EMERGENCY FUND,500.00,
Savings,10007-2000007,3/31/2026,,DEPOSIT INTEREST,,1.47,
Savings,10007-2000007,4/17/2026,,Transfer,TRAVEL AND EMERGENCY FUND,500.00,
Savings,10007-2000007,4/30/2026,,DEPOSIT INTEREST,,2.60,
Savings,10007-2000007,5/17/2026,,Transfer,TRAVEL AND EMERGENCY FUND,500.00,
Savings,10007-2000007,5/31/2026,,DEPOSIT INTEREST,,2.41,
Savings,10007-2000007,6/17/2026,,Transfer,TRAVEL AND EMERGENCY FUND,500.00,
Savings,10007-2000007,6/30/2026,,DEPOSIT INTEREST,,1.39,
Visa,4.00007E+15,1/3/2026,,RIVERSTONE HOME REGINA SK,,-76.75,
Visa,4.00007E+15,1/5/2026,,MAPLE BOWL KITCHEN REGINA SK,,-19.74,
Visa,4.00007E+15,1/5/2026,,NORTHSTAR GROCER #18 REGINA SK,,-72.27,
Visa,4.00007E+15,1/5/2026,,RIVERSTONE HOME REGINA SK,,-96.69,
