Account Type,Account Number,Transaction Date,Cheque Number,Description 1,Description 2,CAD$,USD$
Chequing,10008-1000008,1/1/2026,,PENSION DEPOSIT,PRAIRIE EMPLOYEES PENSION,1850.00,
Chequing,10008-1000008,1/3/2026,,CONDO FEE,PARKLAND CONDOMINIUM,-485.00,
Chequing,10008-1000008,1/7/2026,,MISC PAYMENT,CITY POWER AND WATER,-134.85,
Chequing,10008-1000008,1/9/2026,,INSURANCE,PRAIRIE SHIELD HOME,-102.75,
Chequing,10008-1000008,1/11/2026,,MISC PAYMENT,MOBILE NORTH,-39.50,
Chequing,10008-1000008,1/27/2026,,GOVERNMENT PAYMENT,CPP BENEFIT,1265.40,
Chequing,10008-1000008,1/27/2026,,GOVERNMENT PAYMENT,OAS BENEFIT,713.34,
Chequing,10008-1000008,1/28/2026,,Transfer,WWW TRANSFER - 3999,-250.00,
Chequing,10008-1000008,2/1/2026,,PENSION DEPOSIT,PRAIRIE EMPLOYEES PENSION,1850.00,
Chequing,10008-1000008,2/3/2026,,CONDO FEE,PARKLAND CONDOMINIUM,-485.00,
Chequing,10008-1000008,2/7/2026,,MISC PAYMENT,CITY POWER AND WATER,-111.96,
Chequing,10008-1000008,2/9/2026,,INSURANCE,PRAIRIE SHIELD HOME,-102.75,
Chequing,10008-1000008,2/11/2026,,MISC PAYMENT,MOBILE NORTH,-39.50,
Chequing,10008-1000008,2/14/2026,,SCHEDULED PAYMENT,VISA PAYMENT,-357.01,
Chequing,10008-1000008,2/27/2026,,GOVERNMENT PAYMENT,CPP BENEFIT,1265.40,
Chequing,10008-1000008,2/27/2026,,GOVERNMENT PAYMENT,OAS BENEFIT,713.34,
Chequing,10008-1000008,2/28/2026,,Transfer,WWW TRANSFER - 6613,-250.00,
Chequing,10008-1000008,3/1/2026,,PENSION DEPOSIT,PRAIRIE EMPLOYEES PENSION,1850.00,
Chequing,10008-1000008,3/3/2026,,CONDO FEE,PARKLAND CONDOMINIUM,-485.00,
Chequing,10008-1000008,3/7/2026,,MISC PAYMENT,CITY POWER AND WATER,-132.34,
Chequing,10008-1000008,3/9/2026,,INSURANCE,PRAIRIE SHIELD HOME,-102.75,
Chequing,10008-1000008,3/11/2026,,MISC PAYMENT,MOBILE NORTH,-39.50,
Chequing,10008-1000008,3/14/2026,,SCHEDULED PAYMENT,VISA PAYMENT,-354.78,
Chequing,10008-1000008,3/27/2026,,GOVERNMENT PAYMENT,CPP BENEFIT,1265.40,
Chequing,10008-1000008,3/27/2026,,GOVERNMENT PAYMENT,OAS BENEFIT,713.34,
Chequing,10008-1000008,3/28/2026,,Transfer,WWW TRANSFER - 2936,-250.00,
Chequing,10008-1000008,4/1/2026,,PENSION DEPOSIT,PRAIRIE EMPLOYEES PENSION,1850.00,
Chequing,10008-1000008,4/3/2026,,CONDO FEE,PARKLAND CONDOMINIUM,-485.00,
Chequing,10008-1000008,4/7/2026,,MISC PAYMENT,CITY POWER AND WATER,-123.42,
Chequing,10008-1000008,4/9/2026,,INSURANCE,PRAIRIE SHIELD HOME,-102.75,
Chequing,10008-1000008,4/11/2026,,MISC PAYMENT,MOBILE NORTH,-39.50,
Chequing,10008-1000008,4/14/2026,,SCHEDULED PAYMENT,VISA PAYMENT,-849.50,
Chequing,10008-1000008,4/27/2026,,GOVERNMENT PAYMENT,CPP BENEFIT,1265.40,
Chequing,10008-1000008,4/27/2026,,GOVERNMENT PAYMENT,OAS BENEFIT,713.34,
Chequing,10008-1000008,4/28/2026,,Transfer,WWW TRANSFER - 6549,-250.00,
Chequing,10008-1000008,5/1/2026,,PENSION DEPOSIT,PRAIRIE EMPLOYEES PENSION,1850.00,
Chequing,10008-1000008,5/3/2026,,CONDO FEE,PARKLAND CONDOMINIUM,-485.00,
Chequing,10008-1000008,5/7/2026,,MISC PAYMENT,CITY POWER AND WATER,-114.38,
Chequing,10008-1000008,5/9/2026,,INSURANCE,PRAIRIE SHIELD HOME,-102.75,
Chequing,10008-1000008,5/11/2026,,MISC PAYMENT,MOBILE NORTH,-39.50,
Chequing,10008-1000008,5/14/2026,,SCHEDULED PAYMENT,VISA PAYMENT,-358.00,
Chequing,10008-1000008,5/27/2026,,GOVERNMENT PAYMENT,CPP BENEFIT,1265.40,
Chequing,10008-1000008,5/27/2026,,GOVERNMENT PAYMENT,OAS BENEFIT,713.34,
Chequing,10008-1000008,5/28/2026,,Transfer,WWW TRANSFER - 9089,-250.00,
Chequing,10008-1000008,6/1/2026,,PENSION DEPOSIT,PRAIRIE EMPLOYEES PENSION,1850.00,
Chequing,10008-1000008,6/3/2026,,CONDO FEE,PARKLAND CONDOMINIUM,-485.00,
Chequing,10008-1000008,6/7/2026,,MISC PAYMENT,CITY POWER AND WATER,-113.73,
Chequing,10008-1000008,6/9/2026,,INSURANCE,PRAIRIE SHIELD HOME,-102.75,
Chequing,10008-1000008,6/11/2026,,MISC PAYMENT,MOBILE NORTH,-39.50,
Chequing,10008-1000008,6/14/2026,,SCHEDULED PAYMENT,VISA PAYMENT,-326.13,
Chequing,10008-1000008,6/27/2026,,GOVERNMENT PAYMENT,CPP BENEFIT,1265.40,
Chequing,10008-1000008,6/27/2026,,GOVERNMENT PAYMENT,OAS BENEFIT,713.34,
Chequing,10008-1000008,6/28/2026,,Transfer,WWW TRANSFER - 5011,-250.00,
Savings,10008-2000008,1/28/2026,,Transfer,MONTHLY RESERVE,250.00,
Savings,10008-2000008,1/31/2026,,DEPOSIT INTEREST,,3.65,
Savings,10008-2000008,2/28/2026,,DEPOSIT INTEREST,,2.13,
Savings,10008-2000008,2/28/2026,,Transfer,MONTHLY RESERVE,250.00,
Savings,10008-2000008,3/28/2026,,Transfer,MONTHLY RESERVE,250.00,
Savings,10008-2000008,3/31/2026,,DEPOSIT INTEREST,,3.91,
Savings,10008-2000008,4/28/2026,,Transfer,MONTHLY RESERVE,250.00,
Savings,10008-2000008,4/30/2026,,DEPOSIT INTEREST,,7.90,
Savings,10008-2000008,5/28/2026,,Transfer,MONTHLY RESERVE,250.00,
Savings,10008-2000008,5/31/2026,,DEPOSIT INTEREST,,6.73,
Savings,10008-2000008,6/28/2026,,Transfer,MONTHLY RESERVE,250.00,
Savings,10008-2000008,6/30/2026,,DEPOSIT INTEREST,,3.50,
Visa,4.00008E+15,1/3/2026,,PRAIRIE CARE DRUGS,,-8.82,
Visa,4.00008E+15,1/4/2026,,PRAIRIE CARE DRUGS,,-14.64,
Visa,4.00008E+15,1/5/2026,,NORTHSTAR GROCER #18 REGINA SK,,-96.04,
Visa,4.00008E+15,1/5/2026,,NORTHSTAR GROCER #18 REGINA SK,,-36.76,
Visa,4.00008E+15,1/10/2026,,HARVEST FOODS #221 REGINA SK,,-106.31,
Visa,4.00008E+15,1/11/2026,,HEALTHWAY PHARMACY #09,,-26.56,
Visa,4.00008E+15,1/14/2026,,WILLOW COFFEE HOUSE REGINA SK,,-9.25,
Visa,4.00008E+15,1/16/2026,,PRAIRIE CARE DRUGS,,-20.57,
Visa,4.00008E+15,1/20/2026,,PARKSIDE PIZZA REGINA SK,,-31.86,
Visa,4.00008E+15,1/30/2026,,WILLOW COFFEE HOUSE REGINA SK,,-6.20,
Visa,4.00008E+15,2/2/2026,,MAPLE BOWL KITCHEN REGINA SK,,-33.66,
Visa,4.00008E+15,2/3/2026,,HARVEST FOODS #221 REGINA SK,,-29.37,
Visa,4.00008E+15,2/3/2026,,PRAIRIE CARE DRUGS,,-28.01,
Visa,4.00008E+15,2/12/2026,,COPPER MUG CAFE REGINA SK,,-21.85,
Visa,4.00008E+15,2/13/2026,,PRAIRIE MARKET #104 REGINA SK,,-67.28,
Visa,4.00008E+15,2/14/2026,,PAYMENT - THANK YOU / PAIEMENT - MERCI,,357.01,
