Account Type,Account Number,Transaction Date,Cheque Number,Description 1,Description 2,CAD$,USD$
Chequing,00561-5489135,5/4/2026,,Email Trfs,E-TRANSFER SENT ,-234.5,
Chequing,00561-5489135,5/7/2026,,TAX REFUND,CANADA ,854.07,
Chequing,00561-5489135,5/8/2026,,MISC PAYMENT,STRIPE ,15.53,
Chequing,00561-5489135,5/11/2026,,AQUA NAILS AND,IDP PURCHASE - 3261 ,-53.94,
Chequing,00561-5489135,5/11/2026,,Transfer,WWW TRANSFER - 8071 ,-298.27,
Chequing,00561-5489135,5/12/2026,,MONTHLY FEE,,-5.39,
Chequing,00561-5489135,5/12/2026,,MULTIPRODUCT REBATE,,5.39,
Chequing,00561-5489135,5/13/2026,,MISC PAYMENT,STRIPE ,15.72,
Chequing,00561-5489135,5/13/2026,,C-IDP PURCHASE-7460,WILLOW SMOKE ,-21.31,
Chequing,00561-5489135,5/14/2026,,Email Trfs,E-TRANSFER SENT ,-7.9,
Chequing,00561-5489135,5/15/2026,,PAYROLL DEPOSIT,BDO LLP ,2513.98,
Chequing,00561-5489135,5/15/2026,,MISC PAYMENT,GOODLIFE CLUBS ,-184.88,
Chequing,00561-5489135,5/19/2026,,E-TRF AUTODEPOSIT,,94.4,
Chequing,00561-5489135,5/19/2026,,MISC PAYMENT,PAYPAL ,-1.97,
Chequing,00561-5489135,5/22/2026,,MISC PAYMENT,STRIPE ,47.33,
Chequing,00561-5489135,5/25/2026,,WWW TRF DDA - 4857,,-2261.43,
Chequing,00561-5489135,5/25/2026,,Transfer,WWW TRANSFER - 4793 ,-126.06,
Chequing,00561-5489135,5/25/2026,,Transfer,WWW TRANSFER - 5301 ,-145.14,
Chequing,00561-5489135,5/26/2026,,MISC PAYMENT,STRIPE ,15.89,
Chequing,00561-5489135,5/26/2026,,MISC PAYMENT,PAYPAL ,-4.44,
Chequing,00561-5489135,5/27/2026,,INSURANCE,WAWANESA INS ,-177.14,
Chequing,00561-5489135,5/29/2026,,PAYROLL DEPOSIT,BDO LLP ,2513.98,
Chequing,00561-5489135,5/29/2026,,MISC PAYMENT,PAYPAL ,-19.34,
Chequing,00561-5489135,6/1/2026,,Email Trfs,E-TRANSFER SENT ,-210.37,
Chequing,00561-5489135,6/1/2026,,Transfer,WWW TRANSFER - 3445 ,-214.01,
Chequing,00561-5489135,6/3/2026,,WWW TRF DDA - 3704,,-1887.9,
Chequing,00561-5489135,6/3/2026,,Transfer,WWW TRANSFER - 3629 ,-12.78,
Chequing,00561-5489135,6/4/2026,,MISC PAYMENT,STRIPE ,84,
Chequing,00561-5489135,6/4/2026,,C-IDP PURCHASE-5327,WILLOW CONVENIE ,-24.27,
Chequing,00561-5489135,6/9/2026,,Transfer,WWW TRANSFER - 6921 ,-61.32,
Chequing,00561-5489135,6/9/2026,,Transfer,WWW TRANSFER - 6943 ,-97.91,
Chequing,00561-5489135,6/10/2026,,MISC PAYMENT,STRIPE ,16.21,
Chequing,00561-5489135,6/12/2026,,MONTHLY FEE,,-5.39,
Chequing,00561-5489135,6/12/2026,,MULTIPRODUCT REBATE,,5.39,
Chequing,00561-5489135,6/15/2026,,PAYROLL DEPOSIT,BDO LLP ,2513.98,
Chequing,00561-5489135,6/15/2026,,MISC PAYMENT,GOODLIFE CLUBS ,-184.88,
Chequing,00561-5489135,6/15/2026,,Email Trfs,E-TRANSFER SENT ,-40.46,
Chequing,00561-5489135,6/16/2026,,MISC PAYMENT,STRIPE ,16.16,
Chequing,00561-5489135,6/17/2026,,WWW TRF DDA - 1647,,-1898.69,
Chequing,00561-5489135,6/17/2026,,Transfer,WWW TRANSFER - 8099 ,-326.28,
Chequing,00561-5489135,6/18/2026,,E-TRF AUTODEPOSIT,,94.4,
Chequing,00561-5489135,6/19/2026,,E-TRF AUTODEPOSIT,,158.35,
Chequing,00561-5489135,6/23/2026,,MISC PAYMENT,STRIPE ,48.9,
Chequing,00561-5489135,6/24/2026,,Transfer,WWW TRANSFER - 4438 ,-498.82,
Chequing,00561-5489135,6/25/2026,,MISC PAYMENT,PAYPAL ,-6.08,
Chequing,00561-5489135,6/29/2026,,INSURANCE,WAWANESA INS ,-177.13,
Chequing,00561-5489135,6/30/2026,,E-TRF AUTODEPOSIT,,24.48,
Chequing,00561-5489135,6/30/2026,,E-TRF AUTODEPOSIT,,153.73,
Chequing,00561-5489135,6/30/2026,,PAYROLL DEPOSIT,BDO LLP ,2513.98,
Chequing,00561-5489135,6/30/2026,,MISC PAYMENT,PAYPAL ,-19.34,
Chequing,00561-5489135,7/3/2026,,CAD ESSENTIALS,CANADA ,101.47,
Savings,05465-5468435,4/29/2026,,BONUS DEP INT,,5.33,
Savings,05465-5468435,5/1/2026,,DEPOSIT INTEREST,,5.42,
Savings,05465-5468435,5/4/2026,,SCHEDULED PAYMENT,ONLINE TRANSFER ,-6472.8,
Savings,05465-5468435,5/4/2026,,SCHEDULED PAYMENT,ONLINE TRANSFER ,-6742.5,
Savings,05465-5468435,5/25/2026,,Transfer,WWW TRANSFER - 4857 ,2261.43,
Savings,05465-5468435,6/1/2026,,DEPOSIT INTEREST,,2.01,
Savings,05465-5468435,6/3/2026,,Transfer,WWW TRANSFER - 3704 ,1887.9,
Savings,05465-5468435,6/3/2026,,SCHEDULED PAYMENT,ONLINE TRANSFER ,-3964.59,
Savings,05465-5468435,6/17/2026,,Transfer,WWW TRANSFER - 1647 ,1898.69,
Savings,05465-5468435,7/2/2026,,DEPOSIT INTEREST,,1.69,
MasterCard,4.31597E+15,6/6/2026,,COSTCO GAS W1168 GUELPH ON,,-97.91,
MasterCard,4.31597E+15,6/9/2026,,PAYMENT - THANK YOU / PAIEMENT - MERCI,,97.91,
Visa,3.59417E+15,5/9/2026,,DOLLARAMA # 229 GUELPH ON,,-7.62,
Visa,3.59417E+15,5/9/2026,,ZEHRS MKT STR IMPERL 5 GUELPH ON,,-34.04,
Visa,3.59417E+15,5/10/2026,,Amazon.ca Prime Member amazon.ca/priBC,,-7.61,
Visa,3.59417E+15,5/10/2026,,PAYMENT - THANK YOU / PAIEMENT - MERCI,,298.27,
Visa,3.59417E+15,5/11/2026,,AMZN Mktp CA*BF3500ZU1 866-216-1072 ON,,-19.8,
Visa,3.59417E+15,5/11/2026,,AMZN Mktp CA*BV7OU0PE0 866-216-1072 ON,,-15.22,
Visa,3.59417E+15,5/16/2026,,LCBO/RAO #0495 GUELPH ON,,-21.78,
Visa,3.59417E+15,5/17/2026,,WAL-MART SUPERCENTER#1199GUELPH ON,,-21.82,
